on_off,id,date_submitted,last_page,language,date_started,date_last_act,irm11_short,irm12_short,irm21_short,irm31_short,irm32_short,irm33_short,irm34_short,irm35_short,irm36_short,irm37_short,irm41_short,irm42_short,irm51_short,irm52_short,irm53_short,utility_code,utility_type,country_id,region
online,20,2022-09-20,6,en,2022-09-20,2022-09-20,5,5,5,4,4,3,5,5,4,4,4,5,3,4,4,1,public,252,Eastern and Southern Africa
online,21,2022-09-20,6,en,2022-09-20,2022-09-20,3,3,1,1,1,4,3,4,5,5,3,4,3,5,5,2,public,252,Eastern and Southern Africa
online,26,NA,5,en,2022-09-28,2022-09-28,1,1,1,1,1,3,1,2,3,1,2,2,1,2,1,3,public,252,Eastern and Southern Africa
online,27,NA,4,en,2022-09-29,2022-09-29,4,4,3,4,3,4,4,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,UNKNOWN
online,29,NA,2,en,2022-09-29,2022-09-29,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN
online,31,2022-09-30,6,en,2022-09-30,2022-09-30,4,4,5,4,4,4,4,5,5,4,4,4,4,3,5,5,public,252,Eastern and Southern Africa
online,33,NA,5,es,2022-09-30,2022-09-30,3,2,1,4,4,3,2,2,2,5,1,4,1,4,4,NA,NA,NA,UNKNOWN
online,43,2022-11-09,6,fr,2022-11-09,2022-11-09,5,4,5,4,5,3,4,3,4,5,4,4,5,5,5,6,confidential,NA,UNKNOWN
online,47,2022-11-30,6,es,2022-11-30,2022-11-30,5,5,5,5,4,4,5,5,5,5,4,2,5,5,5,7,private,3,Western Europe
online,54,2022-12-01,6,es,2022-12-01,2022-12-01,5,3,5,5,5,3,5,3,4,5,5,4,4,3,5,7,private,3,Western Europe
online,49,2022-11-30,6,es,2022-11-30,2022-11-30,5,5,5,5,4,4,5,5,5,5,4,4,5,4,5,8,mixed,3,Western Europe
online,50,NA,2,es,2022-11-30,2022-11-30,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN
online,51,2022-11-30,6,es,2022-11-30,2022-11-30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,private,3,Western Europe
online,52,2022-11-30,6,es,2022-11-30,2022-11-30,5,5,5,5,5,4,5,4,5,5,5,1,5,5,5,10,mixed,3,Western Europe
online,53,2022-11-30,6,es,2022-11-30,2022-11-30,5,5,5,3,3,3,2,2,4,5,3,2,3,2,5,11,private,3,Western Europe
online,55,2022-12-01,6,es,2022-12-01,2022-12-01,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,12,private,3,Western Europe
